,Indicators,Outcome,Trades,TP,TP_profit,SL,SL_profit,Longs,Longs_profit,Shorts,Shorts_profit,Indicator_exit,Indicator_exit_profit,Timedelta_median
3,"ichimoku,ichimoku_ichimoku,ichimoku",28717.200099999936,449,338,137320.45559999993,25,-49157.8855,207,1854.8945999999232,242,26862.305500000013,86,-59445.37000000001,0 days 04:30:00
1,"bbands,bbands_bbands,ichimoku",117344.50640000006,979,860,338070.00140000007,115,-217203.58500000002,510,50328.044000000016,469,67016.46240000005,4,-3521.910000000007,0 days 02:15:00
0,"bbands,bbands_bbands,bbands",147060.3375000001,1854,609,236496.41550000003,81,-156871.10799999998,956,70663.8619000001,898,76396.4756,1164,67435.03000000006,0 days 03:00:00
2,"bbands,bbands_ichimoku,ichimoku",154696.1749000001,1626,1016,406481.2564,59,-112355.6115,836,76387.87279999998,790,78308.30210000012,551,-139429.46999999997,0 days 01:30:00
